movie_id,title,director_name,writer_name,country
13_Minutes,13 Minutes,Oliver Hirschbiegel,Fred Breinersdorfer,Germany
13_Moons,13 Moons,Alexandre Rockwell,Alexandre Rockwell,United States
13_Rue_Madeleine,13 Rue Madeleine,Henry Hathaway,"Sy Bartlett|John Monks, Jr.",United_States
13_Tzameti,13 Tzameti,Géla Babluani,Géla Babluani,France
13_West_Street,13 West Street,Philip Leacock,NOT_FOUND,United_States
13th_(film),13TH,Ava DuVernay,"* Ava DuVernay
* Spencer Averick",United States
1408_(film),1408,Mikael Håfström,Scott Alexander and Larry Karaszewski|Matt Greenberg,United States
1492:_Conquest_of_Paradise,1492: Conquest of Paradise,Ridley Scott,Roselyne Bosch,United Kingdom|United States|Spain|France
14_Blades,14 Blades,Daniel Lee (film director),Daniel Lee (film director),China|Hong Kong
14_Going_on_30,14 Going on 30,Paul Schneider (director),James Orr (filmmaker)|Richard Jefferies,United States
150_Milligrams,150 Milligrams,Emmanuelle Bercot,Emmanuelle Bercot,France
15_(film),15,Royston Tan,Royston Tan,Singapore
15_Minutes,15 Minutes,John Herzfeld,John Herzfeld,United States
15_Years_and_One_Day,15 Years and One Day,Gracia Querejeta,Gracia Querejeta,Spain
16_Acres,16 Acres,NOT_FOUND,NOT_FOUND,NOT_FOUND
16_Blocks,16 Blocks,Richard Donner,Richard Wenk,United_States
16_to_Life,16 to Life,Becky Smith,Becky Smith,United States
170_Hz,170 Hz,NOT_FOUND,NOT_FOUND,Netherlands
1776_(film),1776,Peter H. Hunt,Peter Stone,United States
17_Again_(film),17 Again,Burr Steers,Jason Filardi,United_States
18-Year-Old_Virgin,18 Year Old Virgin,Tamara Olson,Naomi L. Selfman,United States
18_Again!,18 Again!,Paul Flaherty,Jonathan Prince,United_States
18_Years_Old_and_Rising,18 Years Old and Rising,Frédéric Louf,Régis Jaulin|Frédéric Louf,France
1900_(film),1900,Bernardo Bertolucci,Bernardo Bertolucci|Franco Arcalli|Giuseppe Bertolucci,West Germany|Italy|France
1911_(film),1911,Jackie Chan,Wang Xingdong|Chen Baoguang,China|Hong Kong
1915_(film),1915,Garin Hovannisian,Garin Hovannisian,United States
1918_(1957_film),1918,Toivo Särkkä,Ilmari Unho|Toivo Särkkä|Jarl Hemmer,Finland
1918_(1985_film),1918,Ken Harrison,Matthew Bright|Horton Foote,NOT_FOUND
1920_(film),1920,Vikram Bhatt,Vikram Bhatt,India
1922_(film),1922,Nikos Koundouros,NOT_FOUND,Greece
1941_(film),1941,Steven Spielberg,Bob Gale|Robert Zemeckis,United States
1942:_A_Love_Story,1942: A Love story,Vidhu Vinod Chopra,Sanjay Leela Bhansali|Vidhu Vinod Chopra|Kamna Chandra,India
1944_(film),1944,Elmo Nüganen,Leo Kunnas,Estonia
1969_(film),1969,Ernest Thompson,Ernest Thompson,United States
1971_(2007_film),1971,Amrit Sagar,Piyush Mishra,India
1971_(2014_film),1971,NOT_FOUND,NOT_FOUND,United States
1981_(film),1981,Ricardo Trogi,Ricardo Trogi,Canada
1982_(film),1982,Tommy Oliver,NOT_FOUND,United States
1984_(1956_film),1984,Michael Anderson (director),George Orwell,United Kingdom
1984_(magazine),1984,NOT_FOUND,NOT_FOUND,NOT_FOUND
1987_(film),1987,Ricardo Trogi,Ricardo Trogi,Canada
1990:_The_Bronx_Warriors,1990: The Bronx Warriors,Enzo G. Castellari,Dardano Sacchetti,Italy
1991:_The_Year_Punk_Broke,1991: The Year Punk Broke,Dave Markey,NOT_FOUND,United States
1:54_(film),1:54,Yan England,Yan England,Canada
1_(2009_film),1,Pater Sparrow,Pater Sparrow,Hungary
1_(2013_film),1,Paul Crowder (filmmaker),Mark Monroe,United States
2.0_(film),2.0,S. Shankar,S. Shankar|B. Jeyamohan,India
"20,000_Days_on_Earth","20,000 Days on Earth",Iain Forsyth and Jane Pollard,Nick Cave,United Kingdom
"20,000_Leagues_Under_the_Sea_(1916_film)","20,000 Leagues Under the Sea",Stuart Paton,Stuart Paton|Jules Verne,US
"20,000_Leagues_Under_the_Sea_(1954_film)","20,000 Leagues Under the Sea",Richard Fleischer,NOT_FOUND,United States
"20,000_Leagues_Under_the_Sea_(1985_film)","20,000 Leagues Under the Sea",NOT_FOUND,Jules Verne,Australia
"20,000_Leagues_Under_the_Sea_(1997_Hallmark_film)","20,000 Leagues Under the Sea",Michael Anderson (director),Joe Wiesenfeld|Jules Verne,United States
"20,000_Years_in_Sing_Sing","20,000 Years in Sing Sing",Michael Curtiz,Brown Holmes|Wilson Mizner|Lewis E. Lawes,United States
2000_AD_(film),2000 AD,Gordon Chan,Gordon Chan,"* Hong Kong
* Singapore"
2001:_A_Space_Odyssey_(film),2001: A Space Odyssey,Stanley Kubrick,Arthur C. Clarke,"* United Kingdom
* United States"
2001:_A_Space_Travesty,2001: A Space Travesty,Allan A. Goldstein,NOT_FOUND,Canada|Germany
2001_Maniacs,2001 Maniacs,Tim Sullivan (director),Chris Kobin|Tim Sullivan (director),United States
2009:_Lost_Memories,2009: Lost Memories,NOT_FOUND,NOT_FOUND,South Korea
200_Cigarettes,200 Cigarettes,NOT_FOUND,NOT_FOUND,United States
200_Motels,200 Motels,Frank Zappa|Tony Palmer,Frank Zappa|Tony Palmer,United Kingdom|United States
200_Pounds_Beauty,200 Pounds Beauty,Kim Yong-hwa,Kim Yong-hwa,South Korea
2012:_Ice_Age,2012: Ice Age,Travis Fort,Paul Sinor|Victoria Dadi,United States
2012:_Time_for_Change,2012: Time for Change,João G. Amorim,NOT_FOUND,United States
2012_(film),2012,Roland Emmerich,Roland Emmerich|Harald Kloser,United_States
2016:_Obama's_America,2016: Obama's America,Dinesh D'Souza,Dinesh D'Souza,United States
2020_Texas_Gladiators,2020 Texas Gladiators,George Eastman (actor)|Joe D'Amato,NOT_FOUND,Italy
2033_(film),2033,NOT_FOUND,NOT_FOUND,Mexico
2046_(film),2046,Wong Kar-wai,Wong Kar-wai,Hong Kong
20_30_40,20 30 40,Sylvia Chang,Sylvia Chang,Taiwan
20_Dates,20 Dates,NOT_FOUND,NOT_FOUND,United States
20_Feet_from_Stardom,20 Feet from Stardom,Morgan Neville,NOT_FOUND,United States
20_Fingers_(film),20 Fingers,Mania Akbari,Mania Akbari,Iran
20_Mule_Team,20 Mule Team,Richard Thorpe,Richard Maibaum|Cyril Hume|Edward E. Paramore Jr.,United States
20_Years_After,20 Years After,NOT_FOUND,NOT_FOUND,United States
20th_Century_Women,20th Century Women,Mike Mills (director),Mike Mills (director),United States
21_(2008_film),21,Robert Luketic,Allan Loeb|Peter Steinfeld,United States
21_(2016_film),21,Jaishankar Chigurula (Director),Jaishankar Chigurula (Director),India
21_Days,21 Days,Basil Dean,Graham Greene|Basil Dean,United Kingdom
21_Grams,21 Grams,Alejandro González Iñárritu,Guillermo Arriaga,United States
21_Hours_at_Munich,21 Hours at Munich,William A. Graham (director),NOT_FOUND,NOT_FOUND
21_Jump_Street_(film),21 Jump Street,NOT_FOUND,Michael Bacall,United States
21_tapaa_pilata_avioliitto,21 tapaa pilata avioliitto,Johanna Vuoksenmaa,Johanna Vuoksenmaa,Finland
22_Bullets,22 Bullets,Richard Berry (actor),Richard Berry (actor),France
22_Female_Kottayam,22 Female Kottayam,Aashiq Abu,Syam Pushkaran,India
22_Jump_Street,22 Jump Street,Phil Lord and Christopher Miller,Michael Bacall|Rodney Rothman,United States
22nd_of_May_(film),22nd of May,NOT_FOUND,NOT_FOUND,Belgium
23_(film),23,Hans-Christian Schmid,Hans-Christian Schmid,Germany
23_Blast,23 Blast,Dylan Baker,Toni Hoover|Bram Hoover,United States
23_Paces_to_Baker_Street,23 Paces to Baker Street,Henry Hathaway,Nigel Balchin,United States
24:_Redemption,24: Redemption,Jon Cassar,NOT_FOUND,United States
24_(2016_film),24,Vikram Kumar,Vikram Kumar,India
24_City,24 City,Jia Zhangke,Zhai Yongming|Jia Zhangke,China
24_Days,24 Days,Alexandre Arcady,NOT_FOUND,France
24_Exposures,24 Exposures,Joe Swanberg,Joe Swanberg,United States
24_Hour_Party_People,24 Hour Party People,Michael Winterbottom,Frank Cottrell Boyce,United Kingdom
24_Hours_(1931_film),24 Hours,Marion Gering,Louis Weitzenkorn,United States
24_Weeks,24 Weeks,NOT_FOUND,NOT_FOUND,Germany
25_April_(film),25 April,Leanne Pooley,Leanne Pooley,New Zealand
25_Watts,25 watts,Pablo Stoll|Juan Pablo Rebella,Pablo Stoll|Juan Pablo Rebella,Uruguay
25th_Hour,25th Hour,Spike Lee,David Benioff,United States
26_Years_(film),26 Years,Cho Geun-hyun,Lee Hae-young,South Korea
27_Dresses,27 Dresses,Anne Fletcher,Aline Brosh McKenna,United States
27_Missing_Kisses,27 Missing Kisses,Nana Djordjadze,Nana Djordjadze,Georgia_(country)|United_Kingdom|France|Germany
28_Days_(film),28 Days,Betty Thomas,Susannah Grant,United States
28_Days_Later,28 Days Later,Danny Boyle,Alex Garland,United Kingdom
28_Hotel_Rooms,28 Hotel Rooms,Matt Ross,Matt Ross,United States
28_Weeks_Later,28 Weeks Later,Juan Carlos Fresnadillo,Juan Carlos Fresnadillo|Rowan Joffé,United Kingdom|Spain
29th_Street_(film),29th Street,George Gallo,George Gallo,Cinema_of_the_United_States
29th_and_Gay,29th and Gay,Carrie Preston,James Vasquez,United States
2:22_(2008_film),2:22,Phillip Guzman,Mick Rossi,Canada
2:22_(2016_film),2:22,Paul Currie (director),Todd Stein|Nathan Parker,United States
2:37,2:37,Murali K. Thalluri,Murali K. Thalluri,Australia
2LDK,2LDK,Yukihiko Tsutsumi,Yukihiko Tsutsumi,Japan
2_Become_1_(film),2 Become 1,Law Wing-Cheong,NOT_FOUND,Cinema_of_Hong_Kong
2_Days_in_New_York,2 Days in New York,Julie Delpy,NOT_FOUND,"* Belgium
* France
* Germany"
2_Days_in_Paris,2 Days in Paris,Julie Delpy,Julie Delpy,Germany|France
2_Days_in_the_Valley,2 Days in the Valley,John Herzfeld,John Herzfeld,United States
2_Fast_2_Furious,2 Fast 2 Furious,John Singleton,Derek Haas|Michael Brandt,United States
2_Guns,2 Guns,Baltasar Kormákur,Blake Masters,United States
2_Seconds,2 Seconds,Manon Briand,Manon Briand,Canada
2_States_(film),2 States,Abhishek Varman,Hussain Dalal,India
2_Young,2 Young,Derek Yee,NOT_FOUND,Hong Kong
3-Headed_Shark_Attack,3-Headed Shark Attack,Christopher Ray,Bill Hanstock|Jacob Cooney,United States
3-Iron,3-Iron,Kim Ki-duk,Kim Ki-duk,Japan|South Korea
3000_Miles_to_Graceland,3000 Miles to Graceland,Demian Lichtenstein,Richard Recco|Demian Lichtenstein,United States
300:_Rise_of_an_Empire,300: Rise of an Empire,Noam Murro,NOT_FOUND,United States
300_(film),300,Zack Snyder,NOT_FOUND,United States
300_Miles_to_Heaven,300 Miles to Heaven,NOT_FOUND,NOT_FOUND,"Poland, Denmark, France"
"301,_302","301, 302",Park Chul-soo,NOT_FOUND,South Korea
305_(film),305,NOT_FOUND,NOT_FOUND,United States
30_Beats,30 Beats,Alexis Lloyd,Alexis Lloyd,United States and France
30_Days_of_Night:_Dark_Days,30 Days of Night: Dark Days,Ben Ketai,Ben Ketai|Steve Niles,United States
30_Days_of_Night_(film),30 Days of Night,David Slade,Brian Nelson (screenwriter)|Steve Niles|Stuart Beattie,United States
"30_Is_a_Dangerous_Age,_Cynthia","30 Is a Dangerous Age, Cynthia",Joseph McGrath (film director),Joseph McGrath (film director)|John Wells (satirist)|Dudley Moore,NOT_FOUND
30_Minutes_or_Less,30 Minutes or Less,Ruben Fleischer,NOT_FOUND,United States
30_Nights_of_Paranormal_Activity_with_the_Devil_Inside_the_Girl_with_the_Dragon_Tattoo,30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,Craig Moss,Craig Moss,United States
30_Years_to_Life,30 Years to Life,Vanessa Middleton,Vanessa Middleton,United States
31_(film),31,Rob Zombie,Rob Zombie,United Kingdom|United States
31_North_62_East,31 North 62 East,Tristan Loraine,NOT_FOUND,United Kingdom
32A,32A,Marian Quinn,Marian Quinn,Germany
33_Postcards,33 Postcards,Pauline Chan (actress),NOT_FOUND,China|Australia
33_Scenes_from_Life,33 Scenes From Life,Malgorzata Szumowska,NOT_FOUND,Poland
35_Shots_of_Rum,35 Shots of Rum,Claire Denis,Claire Denis,Germany|France
360_(film),360,Fernando Meirelles,Peter Morgan,United Kingdom|Austria|Brazil|France
36_China_Town,36 China Town,Abbas-Mustan,Shyam Goel,India
36_Chowringhee_Lane,36 Chowringhee Lane,Aparna Sen,Aparna Sen,India
36_Fillette,36 Fillette,Catherine Breillat,Catherine Breillat,France
36_Hours_(1953_film),36 Hours,Montgomery Tully,Steve Fisher (writer),United Kingdom
36_Hours_(1965_film),36 Hours,George Seaton,George Seaton,United States
36_Vayadhinile,36 Vayadhinile,Rosshan Andrrews,Bobby Sanjay,India
388_Arletta_Avenue,388 Arletta Avenue,NOT_FOUND,NOT_FOUND,Canada
38_Parrots,38 Parrots,NOT_FOUND,Grigoriy Oster,Soviet_Union
3:10_to_Yuma_(1957_film),3:10 to Yuma,Delmer Daves,NOT_FOUND,United_States
3:10_to_Yuma_(2007_film),3:10 to Yuma,James Mangold,Derek Haas|Michael Brandt,United States
3:_The_Dale_Earnhardt_Story,3: The Dale Earnhardt Story,Russell Mulcahy,NOT_FOUND,United States
3_A.M._(2001_film),3 A.M.,Lee Davis,Lee Davis,USA
3_A.M._(2014_film),3 A.M.,Vishal Mahadkar,Vishal Mahadkar,India
3_Avengers,3 Avengers,Gianfranco Parolini,Gianfranco Parolini,Italy
3_Backyards,3 Backyards,Eric Mendelsohn,Eric Mendelsohn,United States
3_Bad_Men,3 Bad Men,John Ford,Malcolm Stuart Boylan|John Stone (producer)|Ralph Spence (screenwriter)|Herman Whitaker,United States
3_Days_to_Kill,3 Days to Kill,McG,Adi Hasak|Luc Besson,United States|France
3_Geezers!,3 Geezers!,Michelle Schumacher,"Randle Schumacher, Eric Radzan, Tony Cummings",United States
3_Godfathers,3 Godfathers,John Ford,Laurence Stallings|Frank S. Nugent,United States
3_Idiots,3 Idiots,Rajkumar Hirani,Abhijat Joshi|Vidhu Vinod Chopra|Rajkumar Hirani,India
3_Men_in_White,3 Men in White,Willis Goldbeck,Martin Berkeley,United_States
3_Musketeers_(film),3 Musketeers,Cole McKay,NOT_FOUND,United States
3_Needles,3 Needles,Thom Fitzgerald,Thom Fitzgerald,Canada
3_Nights_in_the_Desert,3 Nights in the Desert,Gabriel Cowan,Adam Chanzit,United States
3_Ninjas,3 Ninjas,Jon Turteltaub|Sean McNamara (director)|Sang-ok Shin,Sean McNamara (director)|Mark Saltzman|Sang-ok Shin,United States
3_Ninjas_(film),3 Ninjas,Jon Turteltaub,Edward Emanuel|Kenny Kim,United States
3_Ninjas_Kick_Back,3 Ninjas Kick Back,Charles T. Kanganis,Shin Sang-ok|Mark Saltzman,United States
3_Ninjas_Knuckle_Up,3 Ninjas Knuckle Up,Shin Sang-ok,Alex S. Kim,United States
3_Ring_Circus,3 Ring Circus,Joseph Pevney,Don McGuire (actor)|Joseph Pevney,United States
3_Strikes_(film),3 Strikes,DJ Pooh,DJ Pooh,United States
3_Women,3 Women,Robert Altman,Robert Altman,United States
3faltig,3faltig,NOT_FOUND,NOT_FOUND,Germany
4.3.2.1,4.3.2.1,Noel Clarke,Noel Clarke,United Kingdom|United States
400_Days_(film),400 Days,Matt Osterman,Matt Osterman,United States
40_Days_and_40_Nights,40 Days and 40 Nights,Michael Lehmann,Robert Perez,United Kingdom|United States|France
40_Days_and_Nights,40 Days and Nights,Peter Geiger,H. Perry Horton,United States
40_Guns_to_Apache_Pass,40 Guns to Apache Pass,William Witney,Mary Willingham,United States
40_Pounds_of_Trouble,40 Pounds of Trouble,Norman Jewison,Marion Hargrove,United_States
41_(film),41,NOT_FOUND,NOT_FOUND,United States
42_(film),42,Brian Helgeland,Brian Helgeland,United States
42nd_Street_(film),42nd Street,Lloyd Bacon|Busby Berkeley,Rian James,United States
44_Inch_Chest,44 Inch Chest,Malcolm Venville,Louis Mellis,United Kingdom
44_Minutes:_The_North_Hollywood_Shoot-Out,44 Minutes: The North Hollywood Shoot-Out,Yves Simoneau,NOT_FOUND,United States
45365,45365,Bill Ross IV|Turner Ross,NOT_FOUND,United States
45_Years,45 Years,Andrew Haigh,Andrew Haigh,United Kingdom
47_Ronin_(1994_film),47 Ronin,Kon Ichikawa,Hiroshi Takeyama|Kon Ichikawa,Japan
47_Ronin_(2013_film),47 Ronin,Carl Rinsch,Chris Morgan (writer)|Hossein Amini,United States
48_Hrs.,48 Hrs.,Walter Hill (director),Roger Spottiswoode|Walter Hill (director)|Larry Gross|Steven E. de Souza,United States
49th_Parallel_(film),49th Parallel,Michael Powell,Emeric Pressburger|Rodney Ackland,UK
4:44_Last_Day_on_Earth,4:44 Last Day on Earth,Abel Ferrara,Abel Ferrara,United States|Switzerland|France
4D_Man,4D Man,Irvin Yeaworth,Jack H. Harris,United States
4_(2005_film),4,Ilya Khrzhanovsky,Vladimir Sorokin,Cinema_of_Russia
4_(2007_film),4,Tim Slade (Director),NOT_FOUND,Australia
4_Days_in_May,4 Days in May,Achim von Borries,Achim von Borries,Ukraine|Russia|Germany
4_Little_Girls,4 Little Girls,Spike Lee,NOT_FOUND,Cinema_of_the_United_States
4_Minute_Mile,4 Minute Mile,Charles-Olivier Michaud,Josh Campbell|Jeff Van Wie,United States
"4_Months,_3_Weeks_and_2_Days","4 Months, 3 Weeks and 2 Days",Cristian Mungiu,Cristian Mungiu,Romania
4_for_Texas,4 for Texas,Robert Aldrich,Robert Aldrich,United States
4bia,4bia,Youngyooth Thongkonthun|Parkpoom Wongpoom|Banjong Pisanthanakun,Youngyooth Thongkonthun|Banjong Pisanthanakun|Parkpoom Wongpoom,Cinema_of_Thailand
4th_Man_Out,4th Man Out,Andrew Nackman,Aaron Danick,United States
4th_Period_Mystery,4th Period Mystery,Lee Sang-yong,Shin Dong-yup,South Korea
4x4_(film),4x4,Klaus Rifbjerg|Jan Troell|Palle Kjærulff-Schmidt|Maunu Kurkvaara,Bengt Forslund|Klaus Rifbjerg|Jan Troell|Eyvind Johnson,Finland|Sweden|Norway|Denmark
50/50_(1982_film),50/50,Oddvar Bull Tuhus,Oddvar Bull Tuhus,Norway
50/50_(2011_film),50/50,Jonathan Levine (screenwriter),Will Reiser,United States
50_Children:_The_Rescue_Mission_of_Mr._and_Mrs._Kraus,50 Children: The Rescue Mission of Mr. and Mrs. Kraus,Steven Pressman,Steven Pressman,NOT_FOUND
50_First_Dates,50 First Dates,Peter Segal,"http://dbpedia.org/resource/Donnie_Fritts|http://dbpedia.org/resource/Allen_Covert|http://dbpedia.org/resource/Tom_Bailey_(musician)|http://dbpedia.org/resource/Eddie_Hinton|http://dbpedia.org/resource/Gary_Kemp|http://dbpedia.org/resource/Ric_Ocasek|http://dbpedia.org/resource/Adam_Sandler|http://dbpedia.org/resource/Sting_(musician)|http://dbpedia.org/resource/Tim_Butler|http://dbpedia.org/resource/Richard_Butler_(singer)|http://dbpedia.org/resource/Will_Sergeant|http://dbpedia.org/resource/Roger_O'Donnell|http://dbpedia.org/resource/John_Spinks_(musician)|http://dbpedia.org/resource/Bryan_Ferry|http://dbpedia.org/resource/Porl_Thompson|Robbie Grey, Gary McDowell, Stephen Walker, Michael Conroy, Richard Brown|George Wing|http://dbpedia.org/resource/Simon_Gallup|http://dbpedia.org/resource/Tim_Herlihy|http://dbpedia.org/resource/Alannah_Currie|http://dbpedia.org/resource/Joe_Leeway|http://dbpedia.org/resource/Robert_Smith_(musician)|http://dbpedia.org/resource/Ian_McCulloch_(singer)|http://dbpedia.org/resource/Boris_Williams|http://dbpedia.org/resource/Les_Pattinson|http://dbpedia.org/resource/Perry_Bamonte",United States
